Record.ID,Param.A,Param.B,Param.C,Param.D,Param.E,Param.F,Param.G,Param.H,Param.I,Param.J,Param.K,Param.L,Param.M,Param.N,Param.O,Param.P,Param.Q,Dep.Var
47,0.95831949,1.935328389,0.249448147,0.351057735,21.07716571,5,0.592058974,1,0,0,0,92.81372987,125,22,2.96,0,69,0
48,2.543127577,1.536161371,7.152468649,0.677207126,20.62459771,8,0.157920831,0,1,0,1,97.60663656,159,22,1.26,1,60,0
49,1.781368143,4.878644333,8.216758521,0.476227173,7.768197853,4,0.43105834,0,1,1,1,82.51174936,131,9,1.72,0,52,0
50,2.463949614,2.183370971,7.614091218,0.271322599,18.59410931,9,0.497529585,1,0,1,1,92.45710575,152,19,4.48,0,56,0
51,1.464496998,3.894598514,2.654551017,0.053427094,7.983684442,9,0.474899691,1,0,1,0,111.260576,156,8,4.27,0,79,0
52,1.471317588,4.647207388,5.812290183,0.457500338,15.18775025,4,0.079234162,1,0,0,0,80.88964818,133,17,0.32,0,49,0
53,1.887123408,2.405743447,1.516186627,0.049987796,23.86785236,10,0.927820143,1,1,1,1,101.3677914,156,26,9.28,0,66,0
54,2.311119031,3.014724871,1.469858703,0.29769306,10.27082335,10,0.282136562,1,0,0,0,118.59655,148,12,2.82,0,95,0
55,1.270184121,3.355869177,0.031472622,0.486032992,15.52548296,1,0.47376628,1,1,1,1,108.1706299,136,18,0.47,0,86,0
56,1.383692126,0.275586796,2.152770277,0.700338858,12.77699642,5,0.026457157,0,0,1,1,111.5761112,141,13,0.13,0,88,0
57,1.857208209,0.561601718,1.53164433,0.625020734,8.556796622,2,0.541266741,0,0,1,1,110.1255792,130,10,1.08,0,93,0
58,2.080867915,2.146977036,3.620682473,0.932715643,19.91532473,1,0.511755328,1,0,1,0,61.31698559,96,21,0.51,0,39,0
59,0.638790074,3.693534816,2.35363803,0.864928951,10.11874013,8,0.304770072,0,0,1,0,89.71392846,122,12,2.44,0,66,0
60,1.367303714,4.093027879,2.824710832,0.466914315,11.34542256,5,0.357707758,0,1,0,0,88.09176244,120,12,1.79,0,65,0
61,3.252671905,3.974630679,6.346762626,0.891769212,19.82890549,7,0.060178629,0,0,1,0,106.1928299,149,21,0.42,0,76,0
62,2.161558047,2.14820193,0.650306073,0.198430912,21.87834424,4,0.936940929,1,1,0,1,89.95867275,127,23,3.75,0,64,0
63,1.648284374,3.165595397,8.282916871,0.681477045,10.36615874,6,0.261512991,1,1,1,1,123.0687959,168,11,1.57,0,90,0
64,2.731352392,1.331626745,3.777879231,0.401217295,22.44585346,9,0.975784863,1,1,0,0,118.8019247,173,23,8.78,0,82,0
65,3.243400688,0.141291413,4.306229711,0.87865049,16.96042919,8,0.848403192,0,0,1,1,96.99867611,135,18,6.79,0,70,0
66,1.711586784,0.988954723,6.591995175,0.280957993,18.31595015,8,0.333064406,1,1,0,0,97.81075201,152,19,2.66,0,63,0
67,2.285523,4.725439925,2.339285009,0.663620362,16.38054425,9,0.32026444,1,1,0,1,82.64160019,131,18,2.88,0,52,0
68,1.793045467,2.326924454,1.188863701,0.392392767,9.139157066,3,0.769621218,1,0,0,0,132.9484869,158,11,2.31,0,112,0
69,2.000531564,3.959380728,4.318551519,0.86849533,21.87828198,5,0.098564608,0,1,0,0,105.7055203,161,22,0.49,0,69,0
70,2.799326282,2.800337165,0.383614373,0.227023495,12.11950746,2,0.372975931,0,1,0,0,126.9945008,157,14,0.75,0,103,0
71,2.409852797,4.129564706,2.909633616,0.414557322,12.07036681,7,0.321850894,1,0,0,0,99.59077692,132,12,2.25,0,75,0
72,1.840149648,2.463448588,5.563470463,0.115464706,17.69397458,2,0.601164128,1,0,1,0,67.62090528,102,18,1.2,0,45,0
73,2.056632689,2.207598408,8.993886127,0.921274944,18.51392718,4,0.650576338,1,1,0,0,140.923699,193,20,2.6,1,103,0
74,1.961106981,4.696528851,0.002141329,0.269213367,11.65279905,1,0.304043149,1,1,0,0,125.6911707,161,13,0.3,0,98,0
75,2.366132388,2.821224082,0.641446209,0.227243268,10.8732905,5,0.510938945,1,0,0,1,73.58436323,99,12,2.55,0,55,0
76,1.355647093,4.613081429,7.084479252,0.041173828,16.43027252,8,0.453904024,1,0,1,0,120.0530886,175,17,3.63,0,82,0
77,1.465353496,0.206354306,0.838605476,0.600811296,13.62125581,7,0.437140047,0,1,0,0,101.6326328,143,14,3.06,0,72,0
78,1.53333109,4.688496204,0.970362392,0.428794365,5.275499246,5,0.814004454,0,1,1,0,80.92274682,112,6,4.07,0,58,0
79,1.67082469,1.303953862,2.327611326,0.740519538,4.976422776,1,0.33512171,0,0,1,0,100.7319789,118,7,0.34,0,86,0
80,2.386352343,0.8561876,1.167719438,0.50642881,21.4313283,7,0.901752234,0,1,1,0,107.5363645,157,21,6.31,0,74,0
81,2.926884201,3.637976804,1.671493098,0.736027525,10.84620648,8,0.903277234,0,0,0,1,129.2766871,168,11,7.23,0,99,0
82,2.029762097,2.916814483,9.130971852,0.123313814,14.38501265,10,0.498248058,1,0,0,0,99.99181244,150,15,4.98,0,67,0
83,1.490465349,3.385616488,5.823858566,0.804392827,3.845146245,8,0.932604305,1,1,0,0,129.960739,158,5,7.46,0,107,0
84,2.525369047,2.628815408,1.071136429,0.724114825,12.42575022,5,0.409741567,0,0,0,1,124.0366122,160,13,2.05,0,96,0
85,2.32896672,3.87239746,9.803538207,0.868703671,15.38491928,2,0.346332403,1,1,1,1,118.4061226,159,17,0.69,1,88,0
86,3.14443372,2.206397248,3.265740738,0.123958232,11.63461519,1,0.266001131,0,0,0,1,138.5871323,180,13,0.27,0,107,0
87,1.321619954,3.414262214,8.829114646,0.002078969,12.51413737,1,0.004648012,0,1,0,0,121.0556089,168,13,0,0,87,0
88,2.310116662,4.955146445,2.421180746,0.042555812,23.50063366,4,0.222133512,0,0,1,0,110.0972986,160,24,0.89,0,76,0
89,2.277568602,0.129231192,2.383549985,0.067047541,13.56332978,9,0.800727971,1,1,1,1,80.38575249,115,15,7.21,0,56,0
90,2.437148179,1.704727957,2.973147153,0.179093643,14.40302837,6,0.964558732,1,0,0,1,78.7300036,120,16,5.79,0,52,0
91,1.792312945,1.090851759,2.769460584,0.43306961,6.940429126,3,0.900540456,1,1,0,1,115.345667,155,7,2.7,0,86,0
92,1.412901287,3.2898534,0.002757927,0.096567681,3.978666513,8,0.432957584,0,1,0,1,106.7591955,129,5,3.46,0,88,0
93,1.970745472,4.476084654,0.008702527,0.226900514,17.80371287,10,0.700075788,0,0,1,0,94.41035312,149,20,7,0,60,0
94,2.27665124,0.965214896,1.061458189,0.803845118,3.542565404,5,0.932347222,1,1,1,0,98.32057017,126,4,4.66,0,77,0
95,1.55980076,2.162489352,0.597770401,0.851969284,11.96376255,7,0.258138346,0,1,1,1,101.0436796,138,13,1.81,0,74,0
96,0.978040867,3.038892742,3.25617519,0.472706966,14.18910463,6,0.181404713,1,0,1,1,95.39495315,143,15,1.09,0,64,0
97,3.08795557,1.088145501,3.691956918,0.220503649,18.29005955,5,0.442680589,1,0,1,1,109.3397556,161,20,2.21,0,74,0
98,2.504666341,3.003092305,4.975081762,0.497553491,11.38331996,8,0.384953485,0,1,1,1,110.7592003,145,13,3.08,0,85,0
99,2.041966572,4.557035736,0.075465434,0.102108703,18.16091733,10,0.350993394,0,0,0,1,104.7770389,145,20,3.51,0,76,0
100,1.500148002,4.492545299,5.636099792,0.090463931,2.71949069,5,0.389259041,0,0,0,0,137.558147,171,3,1.95,0,111,0
101,1.397269347,0.496064599,3.599088104,0.573857366,14.34786366,10,0.62730498,1,0,1,1,102.6491604,151,15,6.27,0,70,0
102,1.201152171,1.013398215,0.014441676,0.704305951,14.81643978,7,0.769620644,1,0,0,0,85.15158251,124,16,5.39,0,58,0
103,0.921888349,4.639125807,8.473970641,0.274206883,19.83880508,2,0.92714575,0,0,0,1,100.458129,152,21,1.85,0,66,0
104,2.195011423,4.68358183,5.280412201,0.384978508,14.2904169,7,0.0898077,1,1,0,0,86.83219862,134,16,0.63,0,56,0
105,1.329385379,4.961144404,3.78949642,0.547145261,31.46566645,1,0.31842239,1,1,0,0,142.8499001,206,33,0.32,1,99,0
106,1.589835675,3.953501314,0.442307444,0.826852682,11.13468797,2,0.668770714,1,0,0,0,110.1919593,142,12,1.34,0,86,0
107,2.806327815,2.300556646,6.979264393,0.461048729,13.37715812,5,0.969091668,1,1,0,0,127.3427706,174,13,4.85,0,93,0
108,2.02968724,3.315006064,1.063044188,0.911001819,9.624064313,5,0.066690877,0,0,0,1,109.4508325,137,10,0.33,0,87,0
109,1.690968375,1.544177561,6.321002175,0.609106991,15.9599194,4,0.94661107,1,1,1,0,130.5333303,174,17,3.79,1,98,0
110,1.528896096,3.694565394,0.079676659,0.096934144,14.71270703,6,0.348534234,0,0,0,0,104.8389024,145,16,2.09,0,76,0
111,1.814276495,2.811047548,1.610186856,0.176321767,9.143879591,6,0.292878018,0,1,0,1,68.30996859,102,10,1.76,0,46,0
112,2.819344293,1.147319438,7.287259443,0.111993412,12.08418527,6,0.735973211,1,1,1,0,91.94691384,126,12,4.42,0,67,0
113,2.728087319,4.03462271,0.923852402,0.653395853,5.505009401,7,0.208349158,1,1,0,1,95.09856288,137,6,1.46,0,66,0
114,2.082577191,3.164622439,3.178418839,0.982503761,14.02803754,1,0.371439672,0,1,0,1,113.624528,152,15,0.37,0,85,0
115,1.69279834,3.763792554,0.873959438,0.797587133,19.92811577,3,0.045410309,0,0,1,0,70.96710676,108,22,0.14,0,47,0
116,2.027864256,4.780716855,0.913930972,0.468279252,16.29950868,2,0.364480883,0,0,0,1,81.67651567,121,18,0.73,0,55,0
117,1.301658219,2.359542754,4.527662917,0.569225045,7.540956474,2,0.506696017,0,1,0,1,109.5547337,131,8,1.01,0,92,0
118,2.129178374,2.795688848,0.024015352,0.836386635,19.87980482,1,0.350660229,1,0,0,0,109.754248,154,21,0.35,0,78,0
119,2.393767356,2.660056652,0.615783642,0.534329251,20.74407355,3,0.661833547,1,0,1,1,126.1695158,173,23,1.99,0,92,0
120,2.165533811,4.929227567,1.04754976,0.004047741,10.18346961,3,0.476860951,1,1,0,0,95.19832553,137,11,1.43,0,66,0
121,1.913232127,1.103050076,0.15471678,0.269377245,17.48531621,7,0.957237048,0,0,0,1,98.24258361,148,19,6.7,0,65,0
122,1.83898937,0.947620475,3.17E-06,0.109957523,16.47097978,9,0.770958534,0,1,1,0,94.42223589,135,18,6.94,0,66,0
123,2.971642869,2.934164117,0.990970054,0.775096367,21.15796094,6,0.83312206,0,0,0,0,133.2781177,176,22,5,0,101,0
124,2.749103092,3.304103077,5.121333002,0.371738001,7.77105447,4,0.576082084,0,0,0,1,56.77410418,97,8,2.3,0,33,0
125,1.41612195,0.811968459,0.00637778,0.987191054,11.25311932,5,0.505315495,0,1,1,1,117.9209354,154,13,2.53,0,90,0
126,2.401419795,3.400423288,6.490371671,0.983948882,14.52718242,6,0.595122935,1,0,1,1,123.129648,177,16,3.57,1,86,0
127,3.145610967,3.054114525,7.7469005,0.857612461,20.32122817,10,0.101560434,0,0,1,1,106.9927551,174,22,1.02,1,66,1
128,1.686630123,4.740380204,9.756497503,0.542334559,11.7303018,3,0.753779157,0,0,1,1,95.4961776,134,13,2.26,0,68,0
129,1.226503466,0.186189068,5.608028083,0.475142035,20.45309513,9,0.914752944,1,0,1,0,83.36374305,143,21,8.23,0,49,0
130,2.460371869,0.533773695,4.702466298,0.574339335,22.48914091,6,0.880097238,0,0,0,1,72.37371136,126,24,5.28,0,42,0
131,1.855829666,0.236418112,0.764120518,0.471280027,9.490269565,3,0.045834793,0,1,0,1,79.11225703,105,10,0.14,0,60,0
132,1.100643522,4.571606486,0.445107358,0.67065164,13.84669951,9,0.215146544,1,0,1,0,153.337272,194,15,1.94,0,121,0
133,2.689347367,0.720964101,3.220548214,0.469545062,10.34164363,8,0.249819417,1,1,1,0,92.951554,137,12,2,0,63,0
134,2.166953534,2.599580776,9.830800536,0.818051163,21.89542752,6,0.27517591,1,1,0,0,87.40151992,143,23,1.65,1,53,0
135,1.670952295,2.169042739,9.025768458,0.882812602,14.39103808,5,0.760715299,1,0,0,0,93.12042048,143,16,3.8,0,61,0
136,2.147326314,0.579303097,3.59178467,0.638955467,20.39435509,10,0.213643638,0,0,0,0,97.48167413,136,22,2.14,0,70,0
137,2.622625527,1.751368026,3.030864343,0.445646475,12.16825371,3,0.799226196,0,0,1,0,120.6993383,153,13,2.4,0,95,0
138,1.304213223,1.904146598,7.710415155,0.723312516,12.41840272,9,0.73240674,1,1,0,1,119.4928384,167,13,6.59,1,86,0
139,2.67947377,3.457307654,8.526445201,0.174873688,20.84450486,7,0.177617615,0,0,0,0,130.9714439,180,21,1.24,1,95,0
140,1.724654653,3.784134301,2.025138585,0.122888105,18.03436681,10,0.283778823,0,0,1,1,96.15321565,149,19,2.84,0,62,0
141,1.37039609,4.104144518,0.327178347,0.29693317,13.56150409,10,0.411338458,1,1,0,1,84.53959898,118,15,4.11,0,61,0
142,1.560421594,2.832287398,0.030734413,0.222032291,0.6477159,6,0.484510596,1,0,1,1,52.62372159,69,2,2.91,0,40,0
143,1.565889473,3.814464986,3.107263306,0.472100234,16.36667058,9,0.651555422,1,0,0,1,88.05661601,134,17,5.86,0,58,0
144,2.198544617,3.079193385,0.206452402,0.629027805,15.79124466,5,0.51171486,0,0,1,1,68.64142742,114,17,2.56,0,41,0
145,2.390854491,0.281194693,3.490177547,0.771993323,16.78888323,10,0.741058181,1,1,1,0,108.6123297,153,17,7.41,0,77,0
146,0.987957667,2.471736851,7.421473446,0.593147391,12.23959048,6,0.971777576,0,1,0,1,91.43026618,141,13,5.83,0,59,0
147,1.841197395,4.116028981,0.096367898,0.53011643,13.5321647,10,0.470856761,0,1,0,1,111.4060185,147,14,4.71,0,84,0
148,2.684780177,2.624914308,6.293178642,0.654599968,6.586839843,5,0.197977006,0,1,0,0,86.95873492,114,8,0.99,0,66,0
149,2.146621662,1.937063767,7.635693316,0.853564582,15.79903271,4,0.793612322,0,0,0,1,89.20670807,124,17,3.17,0,64,0
150,2.652792174,3.303548597,0.001156029,0.039801395,13.50429258,5,0.538582896,1,0,1,0,105.0689549,144,14,2.69,0,77,0
151,1.39708414,3.066828204,8.963429289,0.764698291,8.112968558,5,0.363525652,1,0,0,1,85.08164448,123,10,1.82,0,59,0
152,1.538497524,0.006014545,0.005840807,0.717512719,25.11599504,2,0.777743487,0,1,1,0,111.0572006,148,26,1.56,0,83,0
153,1.793109475,1.830707169,0.271829437,0.918029901,13.65103104,6,0.251351036,1,0,1,0,135.2747063,166,16,1.51,0,110,0
154,2.279112404,1.741136605,9.262661244,0.872454676,11.12117309,9,0.81231747,1,0,0,0,84.25334144,120,13,7.31,0,59,0
155,2.207540367,1.040014039,0.076708536,0.284589306,16.26403889,8,0.619411643,0,0,1,1,126.2010326,173,17,4.96,0,92,0
156,0.77647259,0.995163997,2.272273299,0.842789684,12.60126926,2,0.089096498,1,1,1,0,96.42911375,125,13,0.18,0,74,0
157,1.950107876,2.018027729,2.080358183,0.131870714,6.416233808,8,0.78985009,1,1,1,0,107.1916288,147,7,6.32,0,78,0
158,1.312318771,4.400484456,2.457821544,0.123977618,8.370363854,8,0.516786318,1,1,1,1,92.51870293,122,9,4.13,0,70,0
159,1.914619773,3.773566531,7.436415954,0.527107383,16.48811879,7,0.756368129,1,1,1,1,82.14072625,136,17,5.29,0,50,0
160,2.270743382,4.811869641,0.034086439,0.743974896,4.549251225,1,0.285990072,0,0,1,1,86.63468352,103,6,0.29,0,73,0
161,1.714345937,3.734569728,0.131544932,0.182977442,1.777130484,8,0.809499188,0,0,0,1,98.18620371,126,4,6.48,0,77,0
162,2.312082608,0.087344664,2.157510328,0.422981439,6.472543513,9,0.757762435,0,0,1,1,148.6957689,187,7,6.82,0,118,0
163,1.338238317,1.164352757,1.769238595,0.634348632,15.07427929,4,0.291936229,0,1,0,0,96.21361896,135,15,1.17,0,69,0
164,2.044189988,2.695580551,3.742504293,0.182540764,10.54512713,6,0.275286151,0,1,1,0,118.2484564,165,11,1.65,0,85,0
165,2.960541167,2.228373188,3.34E-05,0.168621192,8.957902423,1,0.328816752,1,0,1,0,133.533753,160,9,0.33,0,111,0
166,1.65124372,2.785627569,1.364076513,0.588600241,19.2650388,10,0.075877063,0,1,1,0,117.1651971,169,19,0.76,0,81,0
167,1.68754217,0.924308703,4.121918599,0.968313635,14.34183294,2,0.582088571,1,0,1,1,136.025595,177,14,1.16,1,105,0
168,2.022063258,2.790146213,4.26186616,0.175302602,7.207031371,9,0.556180049,0,1,1,0,136.7025096,177,7,5.01,0,106,0
169,2.389786368,0.105818272,7.57115856,0.648273402,21.42650642,4,0.90033807,1,1,1,1,143.9313738,187,23,3.6,1,111,0
170,2.257321467,3.017990248,0.064940664,0.339382011,21.3046088,1,0.370454024,0,0,1,0,119.7018649,163,22,0.37,0,88,0
171,1.002838799,2.630012806,0.013522412,0.274798361,9.389723413,4,0.412793901,0,1,1,1,101.7230867,139,10,1.65,0,74,0
172,1.565223108,2.778585926,4.897407381,0.204002275,18.0474245,2,0.273014179,0,1,0,0,82.9954951,121,18,0.55,0,57,0
173,0.877942327,4.230123488,2.097185514,0.189599863,5.567403391,4,0.54326642,0,0,0,0,120.6298259,148,6,2.17,0,98,0
174,2.382501004,3.888589829,6.979045147,0.051413971,8.172209068,8,0.86432303,0,1,0,1,127.9161069,162,9,6.91,0,101,0
175,2.450433249,4.069917928,3.889355871,0.25244053,6.364224444,4,0.280269265,0,0,1,0,105.3794241,146,8,1.12,0,76,0
176,3.340473507,0.550082364,5.733093022,0.206321916,18.90417164,10,0.25310029,1,1,1,1,118.3370849,172,20,2.53,0,81,0
177,1.382758585,4.108148651,0.006445212,0.536008001,17.43410877,10,0.063166169,1,0,0,1,87.83676237,142,18,0.63,0,54,0
178,1.741830053,1.095040383,9.961054571,0.932375214,15.47870118,5,0.104193221,1,0,1,0,112.6903542,155,16,0.52,1,82,0
179,3.090534712,2.104482542,2.558378404,0.347987978,12.83958699,2,0.974095788,0,1,1,0,94.53598636,133,14,1.95,0,67,0
180,2.076318911,2.737129806,1.297956011,0.581231382,11.43643877,3,0.399403301,0,0,1,1,140.8268887,179,13,1.2,0,111,0
181,2.211607339,1.732435594,1.810621989,0.646207853,17.45218924,3,0.162250969,1,0,0,1,116.5328877,163,18,0.49,0,83,0
182,2.495726614,2.937121649,0.011924758,0.557141737,5.924435425,8,0.275165298,0,1,0,1,121.5643974,161,6,2.2,0,92,0
183,1.470918828,4.059568254,3.97786017,0.295212068,19.0840957,6,0.787867808,0,0,0,0,82.7153657,123,21,4.73,0,56,0
184,0.820567051,1.221398716,1.095424162,0.776911352,18.41438405,4,0.833674103,0,1,0,1,103.8371529,144,19,3.33,0,75,0
185,1.731802318,4.101969766,6.982607849,0.611411249,21.08438428,6,0.713678179,0,1,0,1,94.43880739,147,22,4.28,1,61,0
186,1.949712884,4.261308174,0.308510876,0.297244453,9.072224891,2,0.692507901,1,0,0,1,123.7216242,152,9,1.39,0,101,0
187,0.32883099,3.827342187,0.965895785,0.598085304,4.187025809,3,0.701381455,1,1,1,0,94.39504008,119,6,2.1,0,75,0
188,1.682418834,2.530527347,6.061267666,0.861496086,13.4699719,8,0.551211904,1,1,1,0,108.5545524,151,15,4.41,1,78,0
189,1.362228203,0.328539388,2.907719877,0.945167259,16.47016123,4,0.349962749,0,0,1,1,108.77023,148,18,1.4,0,80,0
190,1.672328181,1.377084262,1.16811175,0.421422415,12.88464355,2,0.71718158,1,0,1,1,88.31173731,116,15,1.43,0,67,0
191,1.345893906,4.382483866,8.111961941,0.28152632,15.43845353,5,0.979589441,1,0,0,1,91.81779502,139,16,4.9,0,61,0
192,1.447560771,3.620400271,0.18745371,0.44592308,13.2327757,7,0.842813093,0,0,0,0,89.22696437,126,15,5.9,0,63,0
193,1.276559082,1.297769987,7.345797695,0.638655141,11.13631662,1,0.035357578,1,1,0,1,89.56307957,118,12,0.04,0,68,0
194,1.818729962,2.397619449,0.326227651,0.304903994,13.85296211,10,0.395451594,1,0,1,1,92.15521231,131,16,3.95,0,65,0
195,1.938925552,1.052207433,3.866930352,0.580497925,13.31729501,9,0.154466207,0,0,1,0,143.1328689,185,13,1.39,0,111,0
196,2.450274638,1.07295085,1.450990667,0.13611674,23.96070395,2,0.620365386,1,1,0,1,116.0007201,152,25,1.24,0,89,0
197,2.716810493,0.654024519,5.272449835,0.373769322,17.43265119,10,0.451990474,1,1,0,1,94.94669509,145,19,4.52,0,62,0
198,1.223110772,0.23172368,9.183821507,0.533055062,22.18059378,6,0.879340188,0,1,0,1,79.08740545,125,23,5.28,1,50,0
199,2.53362602,1.79857385,0.120113196,0.285327042,15.688005,7,0.671360896,0,1,1,0,112.6871961,155,17,4.7,0,82,0
200,2.098988956,2.681875649,0.031977781,0.871538932,19.24925115,6,0.22676082,0,1,0,0,100.8449575,135,21,1.36,0,75,0
201,2.088028265,0.358239614,3.396589123,0.86291419,16.51083335,4,0.714822958,1,1,1,0,92.08647386,141,17,2.86,0,60,0
202,2.009173801,4.347246752,0.676170316,0.042013816,9.957933435,1,0.105291673,1,0,1,1,89.47242584,111,10,0.11,0,72,0
